"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLC5PUS","197901","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197902","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197903","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197904","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197905","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197906","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197907","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197908","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197909","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197910","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197911","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197912","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","197913","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198001","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198002","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198003","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198004","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198005","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198006","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198007","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198008","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198009","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198010","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198011","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198012","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198013","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198101","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198102","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198103","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198104","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198105","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198106","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198107","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198108","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198109","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198110","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198111","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198112","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198113","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198201","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198202","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198203","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198204","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198205","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198206","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198207","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198208","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198209","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198210","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198211","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
"CLC5PUS","198212","Not Available","1","Electricity Net Generation From Coal, Commercial Sector","Million Kilowatthours"
