"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLGBPUS","198412","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198413","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198501","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198502","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198503","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198504","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198505","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198506","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198507","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198508","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198509","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198510","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198511","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198512","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198513","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198601","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198602","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198603","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198604","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198605","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198606","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198607","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
