label,type,time,value
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 03:00:00","5.63"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 04:00:00","5.58"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 05:00:00","5.65"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 06:00:00","5.71"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 07:00:00","5.75"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 08:00:00","9.14"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 09:00:00","11.29"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 10:00:00","12.35"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 11:00:00","13.14"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 12:00:00","13.21"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 13:00:00","13.1"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 14:00:00","12.19"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 15:00:00","12.83"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 16:00:00","17.12"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 17:00:00","30.9"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 18:00:00","31.14"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 19:00:00","25.26"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 20:00:00","19.84"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 21:00:00","15.83"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 22:00:00","9.93"
"Zone J - NEW YORK CITY (DA)","price","2020-11-01 23:00:00","6.92"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 00:00:00","12.66"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 01:00:00","10.62"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 02:00:00","8.46"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 03:00:00","8.75"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 04:00:00","5.78"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 05:00:00","8.77"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 06:00:00","15.67"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 07:00:00","25.46"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 08:00:00","30.51"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 09:00:00","28.5"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 10:00:00","28.93"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 11:00:00","29.55"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 12:00:00","26.59"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 13:00:00","23.51"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 14:00:00","22.25"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 15:00:00","23.53"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 16:00:00","29.8"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 17:00:00","42.7"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 18:00:00","39.14"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 19:00:00","30.64"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 20:00:00","24.11"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 21:00:00","21.27"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 22:00:00","16.3"
"Zone J - NEW YORK CITY (DA)","price","2020-11-02 23:00:00","13.22"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 00:00:00","5.76"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 01:00:00","5.78"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 02:00:00","5.76"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 03:00:00","5.76"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 04:00:00","5.77"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 05:00:00","8.82"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 06:00:00","23.41"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 07:00:00","29.35"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 08:00:00","34.57"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 09:00:00","31.86"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 10:00:00","33.23"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 11:00:00","33.49"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 12:00:00","32.01"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 13:00:00","29.74"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 14:00:00","28.99"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 15:00:00","30.19"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 16:00:00","38.2"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 17:00:00","46.84"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 18:00:00","44.23"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 19:00:00","36.79"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 20:00:00","29.73"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 21:00:00","26.48"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 22:00:00","23.12"
"Zone J - NEW YORK CITY (DA)","price","2020-11-03 23:00:00","18.21"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 00:00:00","5.58"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 01:00:00","5.59"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 02:00:00","5.57"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 03:00:00","5.6"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 04:00:00","5.53"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 05:00:00","5.57"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 06:00:00","11.64"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 07:00:00","19.39"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 08:00:00","24.89"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 09:00:00","17.7"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 10:00:00","16.83"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 11:00:00","16.88"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 12:00:00","16.69"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 13:00:00","16.3"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 14:00:00","18.04"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 15:00:00","18.93"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 16:00:00","20.89"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 17:00:00","24.76"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 18:00:00","24.25"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 19:00:00","20.27"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 20:00:00","15.61"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 21:00:00","12.79"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 22:00:00","10.2"
"Zone J - NEW YORK CITY (DA)","price","2020-11-04 23:00:00","5.73"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 00:00:00","4.53"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 01:00:00","4.24"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 02:00:00","3.51"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 03:00:00","3.97"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 04:00:00","5.54"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 05:00:00","5.65"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 06:00:00","8.28"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 07:00:00","10.57"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 08:00:00","13.91"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 09:00:00","19.49"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 10:00:00","17.26"
