"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLCASUS","201605","41.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201606","60.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201607","69","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201608","68.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201609","59.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201610","50.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201611","45.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201612","60.4","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201613","52.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201701","59.2","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201702","49.4","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201703","45.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201704","43.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201705","47.9","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201706","57.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201707","66.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201708","62.2","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201709","53.2","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201710","47.2","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201711","49","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201712","55.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201713","53.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201801","64","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201802","49.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201803","43.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201804","41.5","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201805","46.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201806","58","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201807","63.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201808","63.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201809","55.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201810","48.5","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201811","53.2","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201812","55.9","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201813","53.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201901","56.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201902","50.4","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201903","45","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201904","35.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201905","41.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201906","46.9","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201907","58.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201908","54.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201909","51.4","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201910","39.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201911","46","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201912","43.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","201913","47.5","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202001","39.4","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202002","36.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202003","31.2","1","Coal Generating Units, Capacity Factor","Percent"
